,PLAYER_ID,GP,MIN,FGM,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,REB,AST,STL,BLK,PTS
42,2042,38,12.4,1.6,0.348,0.1,0.3,0.9,0.733,1.7,0.6,0.4,0.1,4.2
43,76022,4,3.0,0.3,0.5,0.0,0.0,0.0,0.0,0.8,0.3,0.0,0.0,0.5
44,201570,59,12.1,1.7,0.416,0.3,0.348,1.0,0.699,1.9,0.7,0.3,0.5,4.7
45,2349,80,16.9,3.0,0.529,0.0,0.0,1.3,0.691,4.2,0.4,0.6,0.8,7.4
46,76024,28,7.0,0.8,0.382,0.0,0.125,0.6,0.941,0.8,0.8,0.6,0.1,2.1
47,76028,27,8.6,0.5,0.326,,,0.7,0.556,2.1,0.4,,,1.8
48,1628386,72,20.0,3.3,0.589,0.1,0.333,1.6,0.776,5.4,0.7,0.4,1.2,8.2
49,706,41,8.8,0.9,0.343,0.2,0.303,0.6,0.722,0.6,1.2,0.5,0.1,2.6
50,1628443,18,6.0,0.3,0.273,0.0,0.0,0.4,0.778,0.6,0.7,0.2,0.1,1.1
51,202730,41,15.2,1.9,0.473,0.0,0.0,0.3,0.786,4.2,0.8,0.3,0.4,4.1
52,76027,81,22.4,3.8,0.442,,,2.2,0.731,2.6,4.2,,,9.8
53,2124,12,13.4,1.8,0.431,0.0,0.0,0.7,0.8,3.2,0.4,0.3,0.7,4.3
54,76025,7,6.1,1.1,0.421,0.0,0.0,0.1,0.5,1.0,0.0,0.1,0.1,2.4
55,951,82,31.0,4.8,0.43,1.4,0.393,2.5,0.823,4.0,2.6,0.9,0.1,13.4
56,2754,77,16.4,2.4,0.475,0.2,0.387,1.5,0.737,2.9,0.8,1.0,0.3,6.4
57,76029,36,4.6,0.5,0.218,,,0.9,0.541,1.3,0.3,,,1.9
58,200984,3,3.4,0.3,0.25,0.0,0.0,0.3,0.5,0.3,0.0,0.0,0.0,1.0
59,76030,22,12.5,1.0,0.343,0.0,0.0,0.6,0.591,3.0,1.1,0.2,0.4,2.7
60,201165,9,4.4,0.4,0.267,0.1,0.25,0.4,0.667,0.2,0.3,0.1,0.0,1.4
